accuracy,precision_macro,recall_macro,f1_macro,auc_roc,model,strategy,n_samples
0.4375,0.41666666666666663,0.42063492063492064,0.41700404858299595,0.5158730158730158,LogReg,LOSO,32
0.53125,0.5048309178743962,0.503968253968254,0.4909862142099682,0.43253968253968256,RF,LOSO,32
0.71875,0.7207792207792207,0.7023809523809523,0.7046153846153846,0.7698412698412698,XGBoost,LOSO,32
