model,strategy,fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro,auc_roc
LogReg,SD_5fold,0,12083,3021,0.6587222773915922,0.6490289074543936,0.6336017480623573,0.6343465592616895,0.693797113915577
LogReg,SD_5fold,1,12083,3021,0.6491228070175439,0.6386104079424564,0.6218391275164162,0.6215813919190907,0.6955804470389652
LogReg,SD_5fold,2,12083,3021,0.6497848394571334,0.6403332925501711,0.620719852758617,0.6197531657315802,0.6828337129512685
LogReg,SD_5fold,3,12083,3021,0.6438265475008276,0.6329404240144959,0.6153656206483371,0.6143655590270791,0.6800459499623981
LogReg,SD_5fold,4,12084,3020,0.6417218543046358,0.6317253873926789,0.6098366175474987,0.6071407274035345,0.6824922035924693
LogReg,LOSO,0,14632,472,0.5233050847457628,0.577205527104068,0.5431891891891892,0.4751278819779079,0.6624144144144144
LogReg,LOSO,1,14632,472,0.6800847457627118,0.5646895121685038,0.5546628242074928,0.5567193049016376,0.6382247838616715
LogReg,LOSO,2,14632,472,0.5720338983050848,0.6232112539413048,0.5367476851851852,0.45598539313020653,0.6801938657407409
LogReg,LOSO,3,14632,472,0.6038135593220338,0.6292798002606892,0.6394124168514412,0.6013639545649572,0.6943696547355084
LogReg,LOSO,4,14632,472,0.5720338983050848,0.6671185939310277,0.6263158875370312,0.5600184586986617,0.6853980734474856
LogReg,LOSO,5,14632,472,0.5084745762711864,0.5867065799759758,0.6290180724600676,0.49159656062547585,0.7406020370527989
LogReg,LOSO,6,14632,472,0.3983050847457627,0.578836471710249,0.6502642147537518,0.38229005382290054,0.7560346649756923
LogReg,LOSO,7,14632,472,0.6016949152542372,0.6276728810530705,0.6163786082707448,0.596801163213377,0.6780381865894489
LogReg,LOSO,8,14632,472,0.5317796610169492,0.6285522987650647,0.6280487804878049,0.5317775593290333,0.6953336720867209
LogReg,LOSO,9,14632,472,0.690677966101695,0.6216161616161616,0.5251084417751084,0.47627298981608146,0.6223515181848516
LogReg,LOSO,10,14632,472,0.5911016949152542,0.660939332684485,0.6168043179019054,0.5706562978673265,0.6674273708614069
LogReg,LOSO,11,14632,472,0.6334745762711864,0.632486499754541,0.5799407571970748,0.5598889697361684,0.7086364898639266
LogReg,LOSO,12,14632,472,0.7055084745762712,0.6636990341369904,0.7370099543647087,0.6598065904435975,0.7833524592351419
LogReg,LOSO,13,14632,472,0.5635593220338984,0.45461309523809523,0.4910049399100494,0.3933767562576427,0.6283270662832706
LogReg,LOSO,14,14632,472,0.6800847457627118,0.6860916008194322,0.682936258203722,0.6793232998132775,0.7568821361143576
LogReg,LOSO,15,14632,472,0.7033898305084746,0.6868820552744259,0.639221296421598,0.6430963337438158,0.6893885205018656
LogReg,LOSO,16,14632,472,0.6588983050847458,0.6190860215053764,0.5860678828855084,0.5833383593865656,0.6434885663771832
LogReg,LOSO,17,14632,472,0.5338983050847458,0.5688086072450893,0.5649419612081013,0.5324796945630054,0.6050567345493842
LogReg,LOSO,18,14632,472,0.538135593220339,0.5826817683595178,0.5614333544475613,0.5164298067523874,0.5801465930685006
LogReg,LOSO,19,14632,472,0.5508474576271186,0.6145631067961165,0.5508474576271186,0.47831164497831163,0.6185183855214019
LogReg,LOSO,20,14632,472,0.4258474576271186,0.6010621557828482,0.551620551771254,0.4005295840656122,0.6723129784797155
LogReg,LOSO,21,14632,472,0.6673728813559322,0.6688482907995104,0.6615315315315315,0.6609428117808006,0.7509729729729729
LogReg,LOSO,22,14632,472,0.6504237288135594,0.6504237288135594,0.6504264296615495,0.6504221596800475,0.7025226681030613
LogReg,LOSO,23,14632,472,0.5614406779661016,0.5934665002080732,0.520339781206984,0.4233132455451739,0.6896145765413317
LogReg,LOSO,24,14632,472,0.673728813559322,0.684014151216966,0.6709777083221067,0.6668133480014669,0.7069030554507734
LogReg,LOSO,25,14632,472,0.461864406779661,0.5401785714285714,0.5171617161716172,0.40492782972978336,0.6120462046204621
LogReg,LOSO,26,14632,472,0.6165254237288136,0.6102946460653971,0.6461423096150642,0.58858683874696,0.6893851024829194
LogReg,LOSO,27,14632,472,0.6483050847457628,0.5943768263965727,0.5653087268086777,0.5594242015294647,0.6194169038971238
LogReg,LOSO,28,14632,472,0.673728813559322,0.6753685503685504,0.6649931373257242,0.6645685279187817,0.7200390088853572
LogReg,LOSO,29,14632,472,0.6419491525423728,0.5993057484032214,0.6330357142857144,0.5921026391012432,0.7156746031746032
LogReg,LOSO,30,14632,472,0.684322033898305,0.6991432936811088,0.6355507270600034,0.6298974334685801,0.7715007335599012
LogReg,LOSO,31,14632,472,0.527542372881356,0.7436781609195402,0.5711538461538461,0.45224527604743986,0.8226233671988389
RF,SD_5fold,0,12083,3021,0.8533598146309169,0.8594318613872142,0.8393888979865072,0.8457739352657625,0.9329459547490468
RF,SD_5fold,1,12083,3021,0.8563389606090699,0.8656647137088753,0.8407558651145131,0.8481635290629805,0.9408236173769707
RF,SD_5fold,2,12083,3021,0.8424362793776895,0.8534524260330711,0.8249423826332891,0.8326938917975567,0.9297311009639776
RF,SD_5fold,3,12083,3021,0.8447533929162528,0.8522437531871494,0.8293298034262767,0.8361565326333608,0.9322193076200653
RF,SD_5fold,4,12084,3020,0.840728476821192,0.8512244024695886,0.8232943332901199,0.8309308880452232,0.9281623165233425
RF,LOSO,0,14632,472,0.6398305084745762,0.6963024130654188,0.6541981981981981,0.6242882828888223,0.7168108108108107
RF,LOSO,1,14632,472,0.684322033898305,0.562914485165794,0.5498674351585014,0.5512935847130507,0.6147435158501441
RF,LOSO,2,14632,472,0.6716101694915254,0.7669353484466834,0.6437355324074074,0.6149939744136237,0.7424406828703703
RF,LOSO,3,14632,472,0.6271186440677966,0.638095238095238,0.6515679442508711,0.6217948717948718,0.7351025498891353
RF,LOSO,4,14632,472,0.5783898305084746,0.6543422965116279,0.6266233161297535,0.5707424079702031,0.6688155614764024
RF,LOSO,5,14632,472,0.7033898305084746,0.5902626662270579,0.6165063693363975,0.5952170930118592,0.6659148296308905
RF,LOSO,6,14632,472,0.614406779661017,0.5531887401938163,0.6218135700697527,0.5098482254935525,0.6930881420418515
RF,LOSO,7,14632,472,0.625,0.6308780841799709,0.6305583205139806,0.6249848501851645,0.6750791783549
RF,LOSO,8,14632,472,0.6186440677966102,0.6457770640192715,0.6691226287262872,0.6119484790353522,0.7665565718157181
RF,LOSO,9,14632,472,0.7161016949152542,0.6766826923076923,0.5858358358358359,0.5810280869104398,0.6429241741741742
RF,LOSO,10,14632,472,0.6059322033898306,0.6675409836065573,0.62957328117076,0.5903695408734603,0.7305386510178946
RF,LOSO,11,14632,472,0.6398305084745762,0.6388912924345995,0.5891511617143386,0.5736178714902119,0.6749328890123114
RF,LOSO,12,14632,472,0.684322033898305,0.6440441176470588,0.7091217207974166,0.6366285528280538,0.7851671959648795
RF,LOSO,13,14632,472,0.5042372881355932,0.41301020408163264,0.4497161394971614,0.40346101497180636,0.4801666298016663
RF,LOSO,14,14632,472,0.6800847457627118,0.679759837962963,0.6787287602265576,0.678872503300397,0.7347927717342444
RF,LOSO,15,14632,472,0.7182203389830508,0.7075816851409114,0.7215670732886114,0.708775787603394,0.8056334216173371
RF,LOSO,16,14632,472,0.6673728813559322,0.7060810810810811,0.5497756017951856,0.5001585106741763,0.6223213071438285
RF,LOSO,17,14632,472,0.559322033898305,0.5597270850166083,0.5619794674964134,0.5554589581974932,0.6112705185295598
RF,LOSO,18,14632,472,0.5233050847457628,0.5607344632768362,0.5459143968871596,0.5022847100175747,0.5716858202877568
RF,LOSO,19,14632,472,0.5466101694915254,0.7088159588159588,0.5466101694915254,0.43734402852049914,0.5848355357655847
RF,LOSO,20,14632,472,0.548728813559322,0.608607855559075,0.6102336889906966,0.5486781678854726,0.6551429662225973
RF,LOSO,21,14632,472,0.5699152542372882,0.5945171147045696,0.5496036036036036,0.499537750385208,0.6328558558558559
RF,LOSO,22,14632,472,0.6758474576271186,0.6775882054625806,0.6760481192207559,0.6752045263399342,0.724257114642248
RF,LOSO,23,14632,472,0.597457627118644,0.6760832625318607,0.5600594073752083,0.49329898072185685,0.5029794247627326
RF,LOSO,24,14632,472,0.7076271186440678,0.7139028106698977,0.7092920910348296,0.7064412035117449,0.7946507158125415
RF,LOSO,25,14632,472,0.4788135593220339,0.6513564329841526,0.5413274660799413,0.40320723684210524,0.6768151815181519
RF,LOSO,26,14632,472,0.6504237288135594,0.606140350877193,0.635382198205061,0.6030884488953444,0.6972885471469041
RF,LOSO,27,14632,472,0.6673728813559322,0.6580042976094548,0.5461961323255129,0.5037999772336166,0.6000687150289584
RF,LOSO,28,14632,472,0.652542372881356,0.7871064467766118,0.6245033590984613,0.5801440597066736,0.6837300440655927
RF,LOSO,29,14632,472,0.7245762711864406,0.6024027459954233,0.5887896825396826,0.59353471118177,0.7283978174603175
RF,LOSO,30,14632,472,0.7139830508474576,0.7277516416740175,0.6726187159916058,0.6741648300512889,0.7416104889780304
RF,LOSO,31,14632,472,0.635593220338983,0.7146892655367232,0.662699564586357,0.620543309589246,0.7114658925979682
