variant,fold,n_features,accuracy,precision_macro,recall_macro,f1_macro,auc_roc
eye,0,90,0.6483050847457628,0.6823721628543672,0.6483050847457628,0.6310763725397872,0.7196297759264578
eye,1,90,0.7372881355932204,0.6774804111122418,0.7010489913544669,0.685197934595525,0.7333602305475506
eye,2,90,0.7330508474576272,0.774842417500927,0.7144820601851851,0.7104012465913518,0.8063783998842592
eye,3,90,0.7139830508474576,0.6834799312506319,0.6796404814697498,0.6813729166979192,0.7819726005701616
eye,4,90,0.673728813559322,0.7017851184517852,0.673728813559322,0.6619791666666667,0.7252944556162022
eye,5,90,0.7457627118644068,0.6477469949219001,0.6956336709507192,0.6590827013362225,0.7411836468351916
eye,6,90,0.684322033898305,0.5969769930444088,0.7145423800465018,0.5779011493563004,0.7857324032974
eye,7,90,0.6165254237288136,0.6528101528101529,0.6165254237288136,0.5923248345334726,0.6988652686009766
eye,8,90,0.7097457627118644,0.6747877550248643,0.6957147696476964,0.6794988079837827,0.7959963584010841
eye,9,90,0.5699152542372882,0.598415346121768,0.5699152542372881,0.5363480196462703,0.5865232691755242
eye,10,90,0.663135593220339,0.6674554879423034,0.6480294138955299,0.6455971174778876,0.7403734695356083
eye,11,90,0.663135593220339,0.6549465240641712,0.628742016106637,0.6280314632804485,0.774470054614459
eye,12,90,0.5889830508474576,0.596046511627907,0.5889830508474576,0.581284752707053,0.5806969979890836
eye,13,90,0.5889830508474576,0.5713835735097252,0.5668362456683624,0.5662751042061387,0.639911892649119
eye,14,90,0.6673728813559322,0.6926798576759525,0.6596871347658007,0.6493529230842028,0.7829182774431359
eye,15,90,0.5508474576271186,0.744222145567437,0.5508474576271186,0.4399946273868953,0.6960733266302788
eye,16,90,0.6546610169491526,0.6225308393130694,0.6181053408715588,0.6197593100551066,0.6849099492918342
eye,17,90,0.5677966101694916,0.5728226490781455,0.5677966101694916,0.5602082762400658,0.5700858230393565
eye,18,90,0.5635593220338984,0.582903981264637,0.5635593220338982,0.5365225847045589,0.6435201809824762
eye,19,90,0.6228813559322034,0.6539361223571749,0.6228813559322034,0.602851362338571,0.6516177104280378
eye,20,90,0.5720338983050848,0.5849424119241193,0.5720338983050848,0.5551325121313924,0.5502010916403333
eye,21,90,0.6758474576271186,0.6796610169491526,0.6690270270270271,0.6679037042146652,0.7529009009009009
eye,22,90,0.652542372881356,0.6720871069502391,0.6518179369781848,0.6417291493103767,0.7193643953676274
eye,23,90,0.7161016949152542,0.7189693743732162,0.7056437006447873,0.7068159905065639,0.7791603274650438
eye,24,90,0.7245762711864406,0.7536671411771987,0.7208600528102602,0.714184568947849,0.7351403782939053
eye,25,90,0.5699152542372882,0.5760442908196146,0.5699152542372882,0.5610710277376945,0.5888843004883655
eye,26,90,0.6483050847457628,0.604851782154236,0.6339657676101602,0.6013432380177063,0.6715190325421954
eye,27,90,0.586864406779661,0.6291131808598649,0.586864406779661,0.5500564629275662,0.6209602125825912
eye,28,90,0.7457627118644068,0.7705689553744013,0.7325724192732789,0.7317165593027661,0.8418424474463627
eye,29,90,0.684322033898305,0.6139635078523636,0.6423611111111112,0.6177306699279793,0.735639880952381
eye,30,90,0.7245762711864406,0.7156224022270767,0.7071331736215574,0.7099476241798552,0.7794770367894218
eye,31,90,0.6483050847457628,0.6600775193798449,0.6483050847457628,0.6417178811823236,0.7354029014650961
physio,0,53,0.4639830508474576,0.4601723350606548,0.4639830508474576,0.45084730174059,0.4334332806664752
physio,1,53,0.5296610169491526,0.4756178266870876,0.4702708933717579,0.46508208772359716,0.5171757925072046
physio,2,53,0.5021186440677966,0.4480894015861572,0.47265625,0.4140362925592329,0.40919777199074076
physio,3,53,0.5338983050847458,0.4251672240802675,0.4433006018371872,0.42683034531484587,0.3616071428571428
physio,4,53,0.3961864406779661,0.36530621753208936,0.3961864406779661,0.3594743232626241,0.31069556162022405
physio,5,53,0.7203389830508474,0.5375580183764327,0.5337475529832326,0.5349753694581281,0.6092433398587114
physio,6,53,0.684322033898305,0.48399980397922177,0.4723948425280068,0.46794973635036274,0.4751215387867258
physio,7,53,0.527542372881356,0.5284881237580552,0.527542372881356,0.5235883857243081,0.5492405199655271
physio,8,53,0.6122881355932204,0.4820868786386028,0.4872967479674797,0.4755651081036776,0.5198382452574525
physio,9,53,0.5677966101694916,0.6062704041427446,0.5677966101694916,0.5247853124074622,0.5706244613616778
physio,10,53,0.4533898305084746,0.4375,0.44102731290299213,0.4363787836712025,0.4366713757878722
physio,11,53,0.5508474576271186,0.5027758044570737,0.5019531611589374,0.4802086147069213,0.5560862723317597
physio,12,53,0.5254237288135594,0.5328142380422691,0.5254237288135593,0.4971080669710807,0.5278655558747487
physio,13,53,0.4766949152542373,0.44561722354256955,0.44980830199808297,0.4448777468276075,0.42871230553712303
physio,14,53,0.5211864406779662,0.5152980688497062,0.5081902364470017,0.4498153535103464,0.5560100692259282
physio,15,53,0.4766949152542373,0.4700749279538905,0.4766949152542373,0.44605940236526137,0.4821351623096811
physio,16,53,0.6398305084745762,0.5916180096016608,0.5685920226923898,0.5647834765252104,0.6496279458335762
physio,17,53,0.4639830508474576,0.4439899483456652,0.4639830508474576,0.4114626200696885,0.5173621085894857
physio,18,53,0.4576271186440678,0.45490330963846215,0.4576271186440678,0.4493118220763832,0.43698829359379493
physio,19,53,0.5572033898305084,0.5968536251709986,0.5572033898305084,0.506718071036038,0.5470410801493825
physio,20,53,0.5127118644067796,0.522576530612245,0.5127118644067796,0.45295493025880834,0.5691521832806664
physio,21,53,0.4661016949152542,0.4316468253968254,0.4503423423423423,0.4161971139687838,0.38773873873873876
physio,22,53,0.5148305084745762,0.521248452099516,0.513555974503995,0.4657968221019596,0.5237274441152707
physio,23,53,0.5614406779661016,0.5509915616298595,0.543450699123379,0.5337637610410433,0.6244747518655365
physio,24,53,0.5211864406779662,0.5243958048335613,0.5144150455353775,0.46246875755865513,0.5147383736595355
physio,25,53,0.5529661016949152,0.5836950662467728,0.5529661016949152,0.507786591543727,0.4717663746049986
physio,26,53,0.6652542372881356,0.5266787658802178,0.5227462089651724,0.5226219434131353,0.5171638060323279
physio,27,53,0.3135593220338983,0.28501035196687374,0.3135593220338983,0.28998830018385424,0.29305515656420567
physio,28,53,0.4745762711864407,0.42586436170212766,0.45167232536299934,0.40827014457587707,0.41194105323990465
physio,29,53,0.7245762711864406,0.6095698924731182,0.6010912698412698,0.6045984122074441,0.6835565476190477
physio,30,53,0.5021186440677966,0.442090395480226,0.45507642022768213,0.43656248253861824,0.44436087432911764
physio,31,53,0.4555084745762712,0.43964194373401533,0.4555084745762712,0.41720836155912044,0.4641087331226659
combined,0,143,0.6800847457627118,0.7041314745090058,0.6800847457627118,0.6703773419108976,0.7600994685435221
combined,1,143,0.7309322033898306,0.6743329350856233,0.7018443804034582,0.6820941986327886,0.7476080691642651
combined,2,143,0.7033898305084746,0.7476722532588455,0.6827980324074074,0.6738722732208074,0.7549822771990741
combined,3,143,0.711864406779661,0.6798470459702497,0.6694646816598036,0.6733896407855907,0.7125435540069687
combined,4,143,0.625,0.6806669261710134,0.625,0.5937030390569149,0.6307185435219764
combined,5,143,0.7648305084745762,0.6596111918604651,0.6993928561295997,0.6721052928033646,0.7441626237693988
combined,6,143,0.6610169491525424,0.558029175698635,0.6256182625237794,0.5345970863016738,0.6800887761572607
combined,7,143,0.6122881355932204,0.6427365057628666,0.6122881355932204,0.5904467930754898,0.6815749784544671
combined,8,143,0.7648305084745762,0.7222654308985245,0.7178184281842819,0.719923234418351,0.8046874999999999
combined,9,143,0.5635593220338984,0.5781594983661573,0.5635593220338984,0.5421791129108202,0.5947195489801781
combined,10,143,0.6567796610169492,0.654666360926393,0.6465985655292328,0.6466282165039929,0.7426827501267841
combined,11,143,0.7245762711864406,0.731817062523785,0.6917152642784412,0.6954355034050073,0.804156252892715
combined,12,143,0.5805084745762712,0.5864768957802977,0.5805084745762712,0.5731433269388874,0.5678235420856077
combined,13,143,0.6059322033898306,0.5877934272300469,0.5758313057583131,0.5724970783015193,0.6174795399247954
combined,14,143,0.6588983050847458,0.6824394688883103,0.651200215769127,0.6404192395959023,0.7619617009799514
combined,15,143,0.5338983050847458,0.7310327949094468,0.5338983050847458,0.40750884400319526,0.6788638322321171
combined,16,143,0.6758474576271186,0.6452302631578948,0.6372423306327835,0.6399694889397407,0.7172679761419052
combined,17,143,0.5720338983050848,0.5803685897435897,0.5720338983050848,0.5606429256064293,0.5514489370870439
combined,18,143,0.5338983050847458,0.5446969696969697,0.5338983050847458,0.5039364060230834,0.5796556305659294
combined,19,143,0.6377118644067796,0.6733450855425227,0.6377118644067796,0.6180850308751509,0.6643026429187016
