A,B,mean_A,mean_B,W,p_raw,p_holm,significant_holm
RandomForest,LogisticRegression,0.6189280074642192,0.6080291687253654,151.0,0.03411991102620959,0.17059955513104796,False
RandomForest,XGBoost,0.6189280074642192,0.6020330529803418,113.0,0.0038655917160212994,0.023193550296127796,True
RandomForest,LightGBM,0.6189280074642192,0.6018423771214167,112.0,0.003615216352045536,0.025306514464318752,True
XGBoost,LightGBM,0.6020330529803418,0.6018423771214167,213.0,0.4927893655069536,0.9855787310139072,False
RandomForest,LSTM,0.6189280074642192,0.6006752626210188,208.0,0.30378718534484506,1.0,False
RandomForest,BiLSTM,0.6189280074642192,0.6002906643582666,213.0,0.3498368663713336,1.0,False
LSTM,BiLSTM,0.6006752626210188,0.6002906643582666,240.0,0.6645215428434312,0.6645215428434312,False
