model,strategy,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,n_folds
LSTM,LOSO,0.611484375,0.08471888112079487,0.6006752626210188,0.08720729563486294,0.6563208971030228,0.11158957835663649,32
BiLSTM,LOSO,0.61234375,0.09318567130164113,0.6002906643582666,0.09494152515546676,0.6516459762235294,0.11614115643013863,32
