A,B,mean_A,mean_B,W,p
combined,eye,0.6189280074642192,0.6232628143692177,201.0,0.24621350597590208
combined,physio,0.6189280074642192,0.4640023700423624,3.0,2.3283064365386963e-09
eye,physio,0.6232628143692177,0.4640023700423624,1.0,9.313225746154785e-10
